ens_gene	Symbol	Uniq_syms	entrez	Gene_name	NTC2	NTC3	NTC4	NTC5	sgUgcg1	sgUgcg2	sgUgcg5
Lactb2	Lactb2	Lactb2	212442	lactamase, beta 2	1338	1185	1304	1427	907	1352	1385
ENSMUSG00000102982.1	NA	ENSMUSG00000102982.1	NA	NA	112	80	115	150	55	123	144
ENSMUSG00000054493.2	NA	ENSMUSG00000054493.2	NA	NA	20	32	38	28	26	22	40
Msc	Msc	Msc	17681	musculin	256	308	321	284	313	302	468
ENSMUSG00000103492.1	NA	ENSMUSG00000103492.1	NA	NA	18	9	17	5	8	9	12
ENSMUSG00000081201.1	NA	ENSMUSG00000081201.1	NA	NA	10	8	13	13	10	20	15
Rpl5-ps1	Rpl5-ps1	Rpl5-ps1	665407	ribosomal protein L5, pseudogene 1	429	195	260	346	192	252	238
Trpa1	Trpa1	Trpa1	277328	transient receptor potential cation channel, subfamily A, member 1	16	2	4	5	5	0	4
Gm10566	Gm10566	Gm10566	100039959	glyceraldehyde-3-phosphate dehydrogenase pseudogene	4	2	0	2	1	0	2
Terf1	Terf1	Terf1	21749	telomeric repeat binding factor 1	3354	3508	2736	3284	2606	3349	3588
ENSMUSG00000104379.1	NA	ENSMUSG00000104379.1	NA	NA	7	6	6	9	4	4	7
Sbspon	Sbspon	Sbspon	226866	somatomedin B and thrombospondin, type 1 domain containing	9	1	2	3	0	6	10
Rpl7	Rpl7	Rpl7	19989	ribosomal protein L7	26815	19525	18746	21175	15300	18737	19200
Rdh10	Rdh10	Rdh10	98711	retinol dehydrogenase 10 (all-trans)	285	328	263	382	243	295	263
Stau2	Stau2	Stau2	29819	staufen double-stranded RNA binding protein 2	25	16	25	27	16	15	17
Ube2w	Ube2w	Ube2w	66799	ubiquitin-conjugating enzyme E2W (putative)	865	801	667	783	535	757	905
ENSMUSG00000102457.1	NA	ENSMUSG00000102457.1	NA	NA	8	13	5	15	14	21	6
Eloc	Eloc	Eloc	67923	elongin C	6024	4397	4042	4700	3671	4889	5273
Tmem70	Tmem70	Tmem70	70397	transmembrane protein 70	1225	1128	1058	1141	1002	1352	1580
Ly96	Ly96	Ly96	17087	lymphocyte antigen 96	276	218	297	352	253	263	351
Gm5828	Gm5828	Gm5828	545306	TOX high mobility group box family member 4 pseudogene	6	1	3	0	4	0	5
ENSMUSG00000101589.1	NA	ENSMUSG00000101589.1	NA	NA	5	3	2	5	1	3	5
ENSMUSG00000100720.1	NA	ENSMUSG00000100720.1	NA	NA	12	11	8	10	1	16	8
Mcm3	Mcm3	Mcm3	17215	minichromosome maintenance complex component 3	1724	1713	1506	1830	1281	1940	2091
Paqr8	Paqr8	Paqr8	74229	progestin and adipoQ receptor family member VIII	87	59	76	119	94	115	128
Efhc1	Efhc1	Efhc1	71877	EF-hand domain (C-terminal) containing 1	7	3	3	8	0	9	2
Tram2	Tram2	Tram2	170829	translocating chain-associating membrane protein 2	428	524	422	531	427	549	520
Tmem14a	Tmem14a	Tmem14a	75712	transmembrane protein 14A	69	45	51	72	47	65	65
ENSMUSG00000102633.1	NA	ENSMUSG00000102633.1	NA	NA	3	2	2	1	1	3	1
ENSMUSG00000025936.15	NA	ENSMUSG00000025936.15	NA	NA	1	2	8	3	0	1	5
Kcnq5	Kcnq5	Kcnq5	226922	potassium voltage-gated channel, subfamily Q, member 5	51	26	42	58	47	55	61
ENSMUSG00000104138.1	NA	ENSMUSG00000104138.1	NA	NA	1	6	2	4	7	0	4
Gm7658	Gm7658	Gm7658	665489	eukaryotic translation initiation factor 3, subunit M pseudogene	64	50	38	69	32	51	50
ENSMUSG00000103748.1	NA	ENSMUSG00000103748.1	NA	NA	16	10	16	17	8	9	12
Ogfrl1	Ogfrl1	Ogfrl1	70155	opioid growth factor receptor-like 1	303	206	266	296	203	283	354
B3gat2	B3gat2	B3gat2	280645	beta-1,3-glucuronyltransferase 2	73	128	95	83	59	98	91
Smap1	Smap1	Smap1	98366	small ArfGAP 1	2202	1932	1760	2305	1674	2493	2801
Sdhaf4	Sdhaf4	Sdhaf4	68002	succinate dehydrogenase complex assembly factor 4	818	458	510	544	383	707	746
Fam135a	Fam135a	Fam135a	68187	family with sequence similarity 135, member A	0	4	6	6	0	1	0
Tubb4b-ps2	Tubb4b-ps2	Tubb4b-ps2	665829	tubulin, beta 4B class IVB, pseudogene 2	1	2	2	0	1	4	8
ENSMUSG00000100131.1	NA	ENSMUSG00000100131.1	NA	NA	3	13	7	9	7	3	8
Gm10222	Gm10222	Gm10222	100142658	predicted gene 10222	1	10	2	2	1	0	5
ENSMUSG00000101939.1	NA	ENSMUSG00000101939.1	NA	NA	5	7	10	5	6	3	6
ENSMUSG00000101111.1	NA	ENSMUSG00000101111.1	NA	NA	111	2502	94	110	71	73	58
Atp6-ps	Atp6-ps	Atp6-ps	100503946	ATP synthase membrane subunit 6, pseudogene	83	68	46	411	275	64	60
ENSMUSG00000102070.1	NA	ENSMUSG00000102070.1	NA	NA	38	16293	17447	39	11839	38	15
ENSMUSG00000101249.1	NA	ENSMUSG00000101249.1	NA	NA	84	58	44	48	42	38	66
Lmbrd1	Lmbrd1	Lmbrd1	68421	LMBR1 domain containing 1	2269	1822	1763	2165	1829	2276	2753
ENSMUSG00000102659.1	NA	ENSMUSG00000102659.1	NA	NA	5	4	0	0	0	2	4
ENSMUSG00000086240.4	NA	ENSMUSG00000086240.4	NA	NA	301	172	200	227	142	181	195
Gm5525	Gm5525	Gm5525	433283	eukaryotic translation elongation factor 1 gamma pseudogene	124	111	82	131	62	91	109
Phf3	Phf3	Phf3	213109	PHD finger protein 3	2122	2298	1804	1986	1542	1861	1995
ENSMUSG00000103783.1	NA	ENSMUSG00000103783.1	NA	NA	37	33	26	28	19	41	16
ENSMUSG00000104315.1	NA	ENSMUSG00000104315.1	NA	NA	43	71	68	59	32	52	34
Ptp4a1_ENSMUSG00000026064.16	Ptp4a1	Ptp4a1_ENSMUSG00000026064.16	19243	protein tyrosine phosphatase 4a1	15	180	16	32	13	201	27
Ptp4a1_ENSMUSG00000117310.2	Ptp4a1	Ptp4a1_ENSMUSG00000117310.2	19243	protein tyrosine phosphatase 4a1	13	22	3	14	8	10	5
Gm19680	Gm19680	Gm19680	100503415	polyamine oxidase (exo-N4-amino) pseudogene	1	2	4	7	2	1	4
Prim2	Prim2	Prim2	19076	DNA primase, p58 subunit	671	471	481	610	365	612	759
Gm29228	Gm29228	Gm29228	115487461	ubiquitin-40S ribosomal protein S27a pseudogene	2	3	1	0	2	0	4
ENSMUSG00000102714.1	NA	ENSMUSG00000102714.1	NA	NA	5	15	4	13	6	6	3
1700001G17Rik	1700001G17Rik	1700001G17Rik	67503	RIKEN cDNA 1700001G17 gene	36	32	12	33	12	21	22
Rab23	Rab23	Rab23	19335	RAB23, member RAS oncogene family	278	256	238	329	195	280	231
Bag2	Bag2	Bag2	213539	BCL2-associated athanogene 2	99	101	71	86	80	109	106
Zfp451	Zfp451	Zfp451	98403	zinc finger protein 451	1594	1956	1442	1809	1539	1718	1873
Gm15455	Gm15455	Gm15455	433287	predicted gene 15455	8	5	3	3	3	3	5
Bend6	Bend6	Bend6	320705	BEN domain containing 6	87	25	50	38	47	86	92
Dst	Dst	Dst	13518	dystonin	38	50	33	37	39	42	60
ENSMUSG00000101462.2	NA	ENSMUSG00000101462.2	NA	NA	13	10	27	26	12	15	17
ENSMUSG00000102336.1	NA	ENSMUSG00000102336.1	NA	NA	31	37	52	78	43	32	40
Ccdc115	Ccdc115	Ccdc115	69668	coiled-coil domain containing 115	1502	952	1022	1162	793	1342	1450
Imp4	Imp4	Imp4	27993	IMP4, U3 small nucleolar ribonucleoprotein	2505	2404	2009	2324	1753	2938	2750
Ptpn18	Ptpn18	Ptpn18	19253	protein tyrosine phosphatase, non-receptor type 18	3774	2239	2125	2412	1753	2569	2683
ENSMUSG00000100280.2	NA	ENSMUSG00000100280.2	NA	NA	86	61	69	88	60	73	110
ENSMUSG00000101223.6	NA	ENSMUSG00000101223.6	NA	NA	78	40	78	86	44	119	102
Prss39	Prss39	Prss39	21755	serine protease 39	2	0	1	0	0	5	3
Arhgef4	Arhgef4	Arhgef4	226970	Rho guanine nucleotide exchange factor 4	307	312	279	347	295	384	405
ENSMUSG00000104002.2	NA	ENSMUSG00000104002.2	NA	NA	19	28	20	30	24	19	22
Fam168b	Fam168b	Fam168b	214469	family with sequence similarity 168, member B	3322	3751	3268	3575	2857	3437	3651
ENSMUSG00000104358.1	NA	ENSMUSG00000104358.1	NA	NA	37	40	18	26	15	21	16
Plekhb2	Plekhb2	Plekhb2	226971	pleckstrin homology domain containing, family B (evectins) member 2	5144	5662	4465	5581	4439	5197	6104
ENSMUSG00000104417.1	NA	ENSMUSG00000104417.1	NA	NA	3	0	1	4	0	3	1
Hs6st1	Hs6st1	Hs6st1	50785	heparan sulfate 6-O-sulfotransferase 1	246	250	209	261	170	272	230
ENSMUSG00000102202.1	NA	ENSMUSG00000102202.1	NA	NA	34	55	20	37	20	51	40
Uggt1	Uggt1	Uggt1	320011	UDP-glucose glycoprotein glucosyltransferase 1	3989	4462	3670	4551	3403	3752	4072
Neurl3	Neurl3	Neurl3	214854	neuralized E3 ubiquitin protein ligase 3	1575	1373	1614	1653	977	1983	2214
Arid5a	Arid5a	Arid5a	214855	AT-rich interaction domain 5A	5947	5970	4653	5362	4598	6562	6567
ENSMUSG00000102762.1	NA	ENSMUSG00000102762.1	NA	NA	14	38	8	11	10	20	15
Kansl3	Kansl3	Kansl3	226976	KAT8 regulatory NSL complex subunit 3	2599	3252	2578	3020	2426	2912	3136
Fer1l5	Fer1l5	Fer1l5	100534273	fer-1 like family member 5	20	62	49	45	63	33	40
Lman2l	Lman2l	Lman2l	214895	lectin, mannose-binding 2-like	490	662	515	524	676	668	634
Cnnm4	Cnnm4	Cnnm4	94220	cyclin M4	478	448	315	361	330	515	612
ENSMUSG00000104316.1	NA	ENSMUSG00000104316.1	NA	NA	9	16	1	5	5	22	4
Cnnm3	Cnnm3	Cnnm3	94218	cyclin M3	591	627	632	640	527	638	693
Ankrd23	Ankrd23	Ankrd23	78321	ankyrin repeat domain 23	188	209	191	156	196	193	246
Ankrd39	Ankrd39	Ankrd39	109346	ankyrin repeat domain 39	531	622	502	658	549	697	747
Sema4c	Sema4c	Sema4c	20353	sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4C	36	34	23	35	28	29	27
Cox5b	Cox5b	Cox5b	12859	cytochrome c oxidase subunit 5B	4118	3574	3284	3954	3042	4228	4279
Actr1b	Actr1b	Actr1b	226977	ARP1 actin-related protein 1B, centractin beta	1826	1695	1586	1678	1401	2161	2114
Zap70	Zap70	Zap70	22637	zeta-chain (TCR) associated protein kinase	6512	5430	5051	6164	4462	5773	6724
Gm18828	Gm18828	Gm18828	100417791	predicted gene, 18828	9	9	9	10	3	10	8
Tmem131	Tmem131	Tmem131	56030	transmembrane protein 131	1263	1397	1347	1585	1047	1280	1458
ENSMUSG00000103016.1	NA	ENSMUSG00000103016.1	NA	NA	3	4	0	0	2	0	3
ENSMUSG00000102930.1	NA	ENSMUSG00000102930.1	NA	NA	170	208	169	179	145	145	168
ENSMUSG00000103159.1	NA	ENSMUSG00000103159.1	NA	NA	1	17	21	20	10	13	9
ENSMUSG00000080054.3	NA	ENSMUSG00000080054.3	NA	NA	5	17	0	2	0	1	21
Vwa3b	Vwa3b	Vwa3b	70853	von Willebrand factor A domain containing 3B	7	10	9	2	2	12	6
Inpp4a	Inpp4a	Inpp4a	269180	inositol polyphosphate-4-phosphatase, type I	1739	2105	1535	2053	1751	1976	2394
ENSMUSG00000086064.1	NA	ENSMUSG00000086064.1	NA	NA	46	60	56	47	38	45	51
ENSMUSG00000102879.1	NA	ENSMUSG00000102879.1	NA	NA	2	6	1	3	6	0	5
Coa5	Coa5	Coa5	76178	cytochrome C oxidase assembly factor 5	4956	4338	4256	5233	3963	5183	6060
Unc50	Unc50	Unc50	67387	unc-50 homolog	2552	1853	1850	2180	1693	2492	2754
Mgat4a	Mgat4a	Mgat4a	269181	mannoside acetylglucosaminyltransferase 4, isoenzyme A	664	724	634	823	503	762	1004
4930594C11Rik	4930594C11Rik	4930594C11Rik	77633	G1 to S phase transition pseudogene	13	15	24	44	15	29	10
ENSMUSG00000087233.1	NA	ENSMUSG00000087233.1	NA	NA	10	6	7	15	3	10	10
Cracdl	Cracdl	Cracdl	72097	capping protein inhibiting regulator of actin like	93	52	80	60	48	51	65
ENSMUSG00000089767.1	NA	ENSMUSG00000089767.1	NA	NA	19	13	11	18	9	10	25
Tsga10	Tsga10	Tsga10	211484	testis specific 10	311	240	252	366	204	373	358
Lipt1	Lipt1	Lipt1	623661	lipoyltransferase 1	87	36	63	41	28	59	49
Mitd1	Mitd1	Mitd1	69028	MIT, microtubule interacting and transport, domain containing 1	2170	2170	1903	2072	1948	2092	2522
Mrpl30	Mrpl30	Mrpl30	107734	mitochondrial ribosomal protein L30	2578	2070	1898	2244	1669	2212	2255
Txndc9	Txndc9	Txndc9	98258	thioredoxin domain containing 9	3345	2797	3090	3327	2511	3377	3748
Eif5b	Eif5b	Eif5b	226982	eukaryotic translation initiation factor 5B	4152	4055	3464	4152	3389	4382	4871
Rev1	Rev1	Rev1	56210	REV1, DNA directed polymerase	548	543	474	468	323	559	661
ENSMUSG00000103804.1	NA	ENSMUSG00000103804.1	NA	NA	4	11	7	5	3	15	4
Aff3	Aff3	Aff3	16764	AF4/FMR2 family, member 3	627	500	590	651	367	652	753
ENSMUSG00000085391.1	NA	ENSMUSG00000085391.1	NA	NA	61	45	83	57	52	54	69
ENSMUSG00000085280.1	NA	ENSMUSG00000085280.1	NA	NA	37	48	29	42	35	38	40
ENSMUSG00000087131.7	NA	ENSMUSG00000087131.7	NA	NA	28	25	23	38	24	47	55
ENSMUSG00000102984.1	NA	ENSMUSG00000102984.1	NA	NA	26	21	29	26	15	30	21
Chst10	Chst10	Chst10	98388	carbohydrate sulfotransferase 10	2247	1861	1768	2170	1658	2243	2525
ENSMUSG00000103647.1	NA	ENSMUSG00000103647.1	NA	NA	6	10	8	7	4	1	2
Pdcl3	Pdcl3	Pdcl3	68833	phosducin-like 3	3265	2533	2519	2770	2513	3215	3759
ENSMUSG00000103046.1	NA	ENSMUSG00000103046.1	NA	NA	41	39	44	37	38	43	56
Gm3617	Gm3617	Gm3617	100041999	ribosomal protein L17 pseudogene	2	0	2	2	0	3	2
Rpl31	Rpl31	Rpl31	114641	ribosomal protein L31	10409	5874	6289	7161	6398	7346	9152
Tbc1d8	Tbc1d8	Tbc1d8	54610	TBC1 domain family, member 8	45	43	22	20	29	29	40
Cnot11	Cnot11	Cnot11	52846	CCR4-NOT transcription complex, subunit 11	1342	1335	1234	1487	1020	1324	1490
ENSMUSG00000085894.1	NA	ENSMUSG00000085894.1	NA	NA	47	59	54	59	40	54	37
Snord89	Snord89	Snord89	100217461	small nucleolar RNA, C/D box 89	28	12	38	39	23	28	27
Rnf149	Rnf149	Rnf149	67702	ring finger protein 149	387	446	422	437	321	498	508
Gm23722	Gm23722	Gm23722	115485772	predicted gene, 23722	4	6	12	14	7	6	10
ENSMUSG00000102471.1	NA	ENSMUSG00000102471.1	NA	NA	53	44	36	41	45	35	35
Map4k4	Map4k4	Map4k4	26921	mitogen-activated protein kinase kinase kinase kinase 4	2062	2380	2096	2694	1864	2358	2659
Gm16894	Gm16894	Gm16894	100047133	predicted gene, 16894	0	2	6	0	5	3	1
Il1r1	Il1r1	Il1r1	16177	interleukin 1 receptor, type I	4	5	6	3	0	13	5
Il1rl2	Il1rl2	Il1rl2	107527	interleukin 1 receptor-like 2	242	178	195	244	152	193	220
Gm17970	Gm17970	Gm17970	100416211	ribosomal protein 10 pseudogene	6	0	1	1	1	3	0
Il1rl1	Il1rl1	Il1rl1	17082	interleukin 1 receptor-like 1	67	42	71	69	50	66	82
Il18r1	Il18r1	Il18r1	16182	interleukin 18 receptor 1	9055	8096	8001	9426	6349	9534	9574
Il18rap	Il18rap	Il18rap	16174	interleukin 18 receptor accessory protein	28925	26232	26283	32685	21239	31311	34568
Slc9a2	Slc9a2	Slc9a2	226999	solute carrier family 9 (sodium/hydrogen exchanger), member 2	0	4	4	4	1	10	15
Mfsd9	Mfsd9	Mfsd9	211798	major facilitator superfamily domain containing 9	49	20	27	35	38	24	43
Mrps9	Mrps9	Mrps9	69527	mitochondrial ribosomal protein S9	1524	1079	1194	1420	972	1446	1728
Gpr45	Gpr45	Gpr45	93690	G protein-coupled receptor 45	5	5	5	9	12	11	11
Tgfbrap1	Tgfbrap1	Tgfbrap1	73122	transforming growth factor, beta receptor associated protein 1	833	884	802	1003	667	996	990
ENSMUSG00000041878.3	NA	ENSMUSG00000041878.3	NA	NA	5	7	24	0	4	16	12
AI597479	AI597479	AI597479	98404	expressed sequence AI597479	494	729	556	646	585	617	728
Fhl2	Fhl2	Fhl2	14200	four and a half LIM domains 2	778	724	684	761	553	759	714
ENSMUSG00000094497.1	NA	ENSMUSG00000094497.1	NA	NA	18	8	11	11	10	14	19
Nck2	Nck2	Nck2	17974	non-catalytic region of tyrosine kinase adaptor protein 2	1804	1945	1708	1989	1406	1949	2282
ENSMUSG00000103422.1	NA	ENSMUSG00000103422.1	NA	NA	29	39	37	40	8	22	21
ENSMUSG00000103945.1	NA	ENSMUSG00000103945.1	NA	NA	213	323	241	237	172	275	267
ENSMUSG00000100764.1	NA	ENSMUSG00000100764.1	NA	NA	5	4	10	8	4	0	5
ENSMUSG00000100480.1	NA	ENSMUSG00000100480.1	NA	NA	7	4	4	2	0	0	3
Uxs1	Uxs1	Uxs1	67883	UDP-glucuronate decarboxylase 1	499	374	423	410	256	429	488
ENSMUSG00000090243.1	NA	ENSMUSG00000090243.1	NA	NA	6	2	0	1	4	9	0
ENSMUSG00000100701.1	NA	ENSMUSG00000100701.1	NA	NA	14	14	13	17	9	19	9
Tpp2	Tpp2	Tpp2	22019	tripeptidyl peptidase II	8326	8429	6973	8912	6075	8801	8930
Mettl21c	Mettl21c	Mettl21c	433294	methyltransferase 21C, AARS1 lysine	101	268	66	91	52	182	65
Ccdc168	Ccdc168	Ccdc168	102636082	coiled-coil domain containing 168	158	128	119	114	109	131	100
Tex30	Tex30	Tex30	75623	testis expressed 30	533	600	383	503	393	600	503
Poglut2	Poglut2	Poglut2	72050	protein O-glucosyltransferase 2	253	199	190	276	207	266	286
Bivm	Bivm	Bivm	246229	basic, immunoglobulin-like variable motif containing	228	210	214	259	166	267	228
Ercc5	Ercc5	Ercc5	22592	excision repair cross-complementing rodent repair deficiency, complementation group 5	1225	1125	1069	1146	868	1212	1335
ENSMUSG00000101567.1	NA	ENSMUSG00000101567.1	NA	NA	3	2	0	3	0	1	1
Wdr75	Wdr75	Wdr75	73674	WD repeat domain 75	1089	928	846	1061	803	1059	1049
ENSMUSG00000084817.3	NA	ENSMUSG00000084817.3	NA	NA	735	460	503	482	392	531	689
Slc40a1	Slc40a1	Slc40a1	53945	solute carrier family 40 (iron-regulated transporter), member 1	1815	286	197	647	531	438	964
Gm8326	Gm8326	Gm8326	666855	heat shock protein 8 pseudogene	1	6	1	3	1	5	5
Dnah7c	Dnah7c	Dnah7c	100101919	dynein, axonemal, heavy chain 7C	2	4	0	5	0	1	0
Slc39a10	Slc39a10	Slc39a10	227059	solute carrier family 39 (zinc transporter), member 10	740	703	590	671	535	643	708
ENSMUSG00000100213.1	NA	ENSMUSG00000100213.1	NA	NA	23	12	45	45	52	4	54
Gm8337	Gm8337	Gm8337	666869	heat shock protein 8 pseudogene	2	5	8	1	1	1	5
Nabp1	Nabp1	Nabp1	109019	nucleic acid binding protein 1	1697	1453	1598	1537	1203	1703	1617
Gm17767	Gm17767	Gm17767	100045066	predicted gene, 17767	8	2	0	18	2	4	5
Stat4	Stat4	Stat4	20849	signal transducer and activator of transcription 4	6559	6010	5909	5991	5027	6531	6804
ENSMUSG00000101628.1	NA	ENSMUSG00000101628.1	NA	NA	19	16	13	12	12	12	26
Gm3940	Gm3940	Gm3940	100042634	ribosomal protein L23A pseudogene	75	98	101	137	75	115	98
ENSMUSG00000109599.1	NA	ENSMUSG00000109599.1	NA	NA	118	121	113	112	65	111	109
Stat1	Stat1	Stat1	20846	signal transducer and activator of transcription 1	2193	2426	2881	2871	2184	2610	3172
Gm18301	Gm18301	Gm18301	100416883	transmembrane protein 209 pseudogene	38	27	50	45	22	50	45
Gls	Gls	Gls	14660	glutaminase	4715	6019	4909	5896	4149	4895	5313
Nab1	Nab1	Nab1	17936	Ngfi-A binding protein 1	4365	4409	3467	4609	3580	5061	5283
Gm5976	Gm5976	Gm5976	546736	glyceraldehyde-3-phosphate dehydrogenase pseudogene	2	0	0	5	1	1	2
Rps27a-ps1	Rps27a-ps1	Rps27a-ps1	100042094	ribosomal protein S27A, pseudogene 1	15	1	3	7	6	4	10
Gm53065	Gm53065	Gm53065	118126071	predicted gene 53065	9	3	5	14	6	3	10
Gm28178	Gm28178	Gm28178	102634661	predicted gene 28178	3	2	11	25	0	12	6
ENSMUSG00000100007.1	NA	ENSMUSG00000100007.1	NA	NA	7	4	1	3	0	5	1
Nemp2	Nemp2	Nemp2	227094	nuclear envelope integral membrane protein 2	1409	1052	1203	1433	923	1461	1343
ENSMUSG00000103630.1	NA	ENSMUSG00000103630.1	NA	NA	13	60	8	24	9	45	5
Mfsd6	Mfsd6	Mfsd6	98682	major facilitator superfamily domain containing 6	1002	1263	992	1181	933	1256	1448
ENSMUSG00000100302.1	NA	ENSMUSG00000100302.1	NA	NA	8	2	3	5	4	11	1
Inpp1	Inpp1	Inpp1	16329	inositol polyphosphate-1-phosphatase	2556	2747	2587	3012	1905	2549	3109
Hibch	Hibch	Hibch	227095	3-hydroxyisobutyryl-Coenzyme A hydrolase	698	552	564	646	405	677	630
